epoch,train_bce,train_acc,val_bce,val_acc
1,0.4416620433330536,0.8231092691421509,0.4045323431491852,0.8489933013916016
2,0.4049341678619385,0.8231092691421509,0.3733885884284973,0.8489933013916016
3,0.3768741488456726,0.8243697285652161,0.3498089611530304,0.8523489832878113
4,0.35603317618370056,0.8243697285652161,0.3269278407096863,0.8523489832878113
5,0.3411512076854706,0.8285714387893677,0.31359314918518066,0.8422818779945374
6,0.3297637104988098,0.8348739743232727,0.30627313256263733,0.8456375598907471
7,0.3206969201564789,0.8407562971115112,0.2958168685436249,0.8456375598907471
8,0.314052551984787,0.8495798110961914,0.2943154275417328,0.8657718300819397
9,0.30704498291015625,0.8512604832649231,0.2883020043373108,0.8624160885810852
10,0.30525824427604675,0.8428571224212646,0.28061577677726746,0.8422818779945374
11,0.2970256209373474,0.8500000238418579,0.2714537978172302,0.8624160885810852
12,0.2920728921890259,0.8571428656578064,0.2723529040813446,0.8724831938743591
13,0.2878769338130951,0.8571428656578064,0.26607730984687805,0.8825503587722778
14,0.28630754351615906,0.8512604832649231,0.2625073790550232,0.8691275119781494
15,0.2810339033603668,0.8609243631362915,0.2619771957397461,0.8825503587722778
16,0.2776327133178711,0.8613445162773132,0.2590031325817108,0.8825503587722778
17,0.27527299523353577,0.8592436909675598,0.2568545341491699,0.8657718300819397
18,0.2730472981929779,0.860084056854248,0.2539862096309662,0.8624160885810852
19,0.27071061730384827,0.8605042099952698,0.2504471242427826,0.8791946172714233
20,0.2694772481918335,0.8621848821640015,0.24256198108196259,0.8758389353752136
21,0.26495423913002014,0.8634454011917114,0.24306444823741913,0.8859060406684875
22,0.2619289457798004,0.8659663796424866,0.2412858009338379,0.8791946172714233
23,0.25932544469833374,0.8689075708389282,0.23914077877998352,0.8859060406684875
24,0.25870880484580994,0.8689075708389282,0.23509818315505981,0.8959731459617615
25,0.25792527198791504,0.8642857074737549,0.23730996251106262,0.8791946172714233
26,0.2560167908668518,0.8722689151763916,0.24105609953403473,0.8758389353752136
27,0.256314218044281,0.8684874176979065,0.23354032635688782,0.8791946172714233
28,0.25047844648361206,0.8815125823020935,0.23782220482826233,0.8892617225646973
29,0.24852289259433746,0.8815125823020935,0.23564429581165314,0.8892617225646973
30,0.24678127467632294,0.8789916038513184,0.23260162770748138,0.8926174640655518
31,0.2482755333185196,0.8789916038513184,0.2373216301202774,0.8691275119781494
32,0.24475741386413574,0.8802521228790283,0.23334001004695892,0.8691275119781494
33,0.2439645230770111,0.8760504126548767,0.22990576922893524,0.8859060406684875
34,0.24437245726585388,0.8781512379646301,0.23677287995815277,0.8657718300819397
35,0.24131248891353607,0.8802521228790283,0.22398865222930908,0.8859060406684875
36,0.24189385771751404,0.8857142925262451,0.2360377013683319,0.899328887462616
37,0.23975814878940582,0.8768907785415649,0.2223990261554718,0.8791946172714233
38,0.23866897821426392,0.8861344456672668,0.22795133292675018,0.9026845693588257
